Algorithm,Time
baseline_degree_mix_mass_3_SF_10_Sym_12_L2_drop0.3_S3,555.364
baseline_degree_mix_mass_3_HY_10_Sym_12_L2_drop0.3_S3,399.626
baseline_degree_mix_mass_3_HY_10_Dir_12_L2_drop0.3_S3,578.1447
baseline_degree_mix_mass_3_HY_10_Sym_12_L2_drop0.3_S1,989.366
baseline_degree_mix_mass_3_SF_10_Dir+HY_10_Dir_12_L2_drop0.3_S1,1143.9408
baseline_degree_mix_mass_3_SF_10_Dir+HY_10_Dir_12_L2_drop0.3_S2,993.5063
baseline_degree_mix_mass_3_SF_10_Sym+HY_10_Sym_12_L2_drop0.3_S1,1289.5567
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Sym_12_L2_drop0.3_S2,1719.0061
baseline_degree_mix_mass_3_SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,1799.7522
baseline_degree_mix_mass_3_SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2,1791.2526
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Sym_12_L2_drop0.3_S1,1974.0091
baseline_degree_mix_mass_3_SF_10_Dir+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,1994.7086
baseline_degree_mix_mass_3_SF_10_Dir+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2,781.5194
baseline_degree_mix_mass_3_SF_10_Dir+HY_10_Sym_12_L2_drop0.3_S3,568.4117
baseline_degree_mix_mass_3_SF_10_Dir+HY_10_Dir_12_L2_drop0.3_S3,1006.4808
baseline_degree_mix_mass_3_SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3,1760.2538
baseline_degree_mix_mass_3_SF_10_Sym+HY_10_Sym_12_L2_drop0.3_S3,1291.9879
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Sym_12_L2_drop0.3_S3,1729.2811
baseline_degree_mix_mass_3_SF_10_Dir+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3,2035.7678
baseline_degree_mix_mass_3_SF_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,1005.2899
baseline_degree_mix_mass_3_SF_10_Dir+HY_10_Sym_12_L2_drop0.3_S2,567.5138
baseline_degree_mix_mass_3_SF_10_Sym+HY_10_Sym_12_L2_drop0.3_S2,1294.8446
baseline_degree_mix_mass_6_SF_10_Dir+SF_10_Sym+HY_10_mNN_12_L2_drop0.3_S2,1649.528
baseline_degree_mix_mass_6_SF_10_Dir+SF_10_Sym+HY_10_mNN_12_L2_drop0.3_S3,1657.9394
baseline_degree_mix_mass_1_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2,1936.5945
baseline_degree_mix_mass_2_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,1943.1941
baseline_degree_mix_mass_2_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2,1938.7354
baseline_degree_mix_mass_6_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2,2199.4554
baseline_degree_mix_mass_12_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2,2247.0571
