Algorithm,amazon,cit-Patents,com-lj,com-youtube,dblp,p2p-Gnutella31,email-EuAll,soc-Epinions1,soc-LiveJournal1,soc-Pokec,soc-Slashdot0902,web-Google,wiki-Talk,wiki-topcats
baseline_degree_mix_mass_12_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_96_drop0.3_S3,1.173262,2.665245,4.423196,0.567518,1.970645,0.019947,0.073509,0.02504,4.532570,1.836929,0.031272,0.368537,0.884407,1.807103
baseline_degree_mix_mass_12_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_96_drop0.3_S1,0.805697,1.883439,3.194059,0.492720,1.340779,0.030466,0.082907,0.039055,3.276437,1.467616,0.049568,0.367617,0.602165,1.449216
baseline_degree_mix_mass_12_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_96_drop0.3_S2,2.401255,5.915395,9.413810,1.284803,4.016641,0.059571,0.192345,0.08616,9.687451,4.108817,0.125899,1.003284,1.711926,4.007386
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2_ed0.1,0.800086,2.480683,4.096241,0.326419,1.184547,0.018321,0.030524,0.026475,4.085953,1.926746,0.043016,0.273711,0.366792,1.521183
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2_ed0.1,0.795829,2.472314,4.070140,0.323150,1.178776,0.017777,0.029822,0.025963,4.062050,1.918122,0.042248,0.271928,0.363004,1.516772
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2_ed0.2,0.786144,2.231554,3.896653,0.351379,1.239854,0.019269,0.036767,0.028927,4.080102,1.797377,0.045168,0.273973,0.435869,1.548140
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_drop0.3_S2_ed0.2,0.858111,2.650468,4.337089,0.383115,1.297045,0.020013,0.039105,0.029073,4.170416,1.984615,0.044742,0.328227,0.439168,1.530976
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_drop0.3_S2,0.543384,1.510853,2.852611,0.278001,0.845747,0.014321,0.031098,0.023144,2.803265,1.236362,0.032506,0.215754,0.272226,1.161778
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L6_drop0.3_S2_ed0.2,0.719440,2.004669,3.734516,0.375952,1.125896,0.01895,0.042653,0.030504,3.686718,1.621476,0.042867,0.281363,0.373675,1.526774
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_drop0.3_S2_ed0.1,1.211655,3.405186,5.713874,0.546479,1.908748,0.02954,0.060548,0.043578,6.088876,2.698143,0.067196,0.436221,0.672916,2.262191
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L6_drop0.3_S2_ed0.1,1.168965,3.594254,5.695610,0.504487,1.768702,0.02713,0.054936,0.039022,5.576627,2.678928,0.059773,0.438730,0.608968,2.023985
abcde_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_64_drop0.3_S1,1.167992,3.022752,4.550863,0.601644,1.963870,0.031111,0.095670,0.040637,4.913577,1.880542,0.057477,0.479732,0.861563,1.811796
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_64_drop0.3_S1,1.256143,3.016508,4.657042,0.636598,2.108936,0.033983,0.107087,0.044916,4.788348,1.926073,0.060333,0.512086,0.950011,1.876199
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_mNN+HY_10_Sym_12_L2_drop0.3_S2,0.258484,0.744887,1.468762,0.138617,0.400506,0.007808,0.015137,0.011367,1.433370,0.643311,0.018085,0.100897,0.122900,0.599695
