Algorithm,amazon,cit-Patents,com-lj,com-youtube,dblp,p2p-Gnutella31,email-EuAll,soc-Epinions1,soc-LiveJournal1,soc-Pokec,soc-Slashdot0902,web-Google,wiki-Talk,wiki-topcats
baseline_degree_mix_independent_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3,27.5999,49.8504,56.546,14.5486,50.9607,0.7997,3.2923,0.9852,66.8252,23.3367,1.1016,11.1784,29.8414,25.1312
baseline_degree_mix_mass_6_SF_10_Dir+SF_10_Sym+HY_10_mNN_12_L2_drop0.3_S1,28.0383,50.7796,57.9327,14.7753,51.7242,0.812,3.3333,1.0018,68.3136,23.9301,1.1234,11.3480,30.2248,25.7296
baseline_degree_mix_mass_2_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3,27.4537,49.5407,56.0838,14.4731,50.7063,0.7957,3.2786,0.9797,66.3291,23.1390,1.0944,11.1218,29.7136,24.9317
baseline_degree_mix_independent_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,27.5999,49.8504,56.546,14.5486,50.9607,0.7997,3.2923,0.9852,66.8252,23.3367,1.1016,11.1784,29.8414,25.1312
baseline_degree_mix_mass_5_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3,27.8921,50.4699,57.4705,14.6997,51.4697,0.8079,3.3196,0.9963,67.8175,23.7323,1.1162,11.2914,30.0970,25.5301
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3,27.746,50.1602,57.0082,14.6242,51.2152,0.8038,3.3059,0.9907,67.3214,23.5345,1.1089,11.2349,29.9692,25.3307
baseline_degree_mix_mass_5_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,27.8921,50.4699,57.4705,14.6997,51.4697,0.8079,3.3196,0.9963,67.8175,23.7323,1.1162,11.2914,30.0970,25.5301
baseline_degree_mix_mass_5_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2,27.8921,50.4699,57.4705,14.6997,51.4697,0.8079,3.3196,0.9963,67.8175,23.7323,1.1162,11.2914,30.0970,25.5301
baseline_degree_mix_mass_1_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,27.3076,49.231,55.6215,14.3975,50.4518,0.7916,3.2649,0.9742,65.8330,22.9412,1.0871,11.0653,29.5858,24.7323
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,27.746,50.1602,57.0082,14.6242,51.2152,0.8038,3.3059,0.9907,67.3214,23.5345,1.1089,11.2349,29.9692,25.3307
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2,27.746,50.1602,57.0082,14.6242,51.2152,0.8038,3.3059,0.9907,67.3214,23.5345,1.1089,11.2349,29.9692,25.3307
baseline_degree_mix_d0d2_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,27.4968,49.6698,56.3541,14.4942,50.7687,0.7967,3.2795,0.9816,66.5926,23.2584,1.0977,11.1363,29.7265,25.0452
baseline_degree_mix_d0d2_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2,27.4968,49.6698,56.3541,14.4942,50.7687,0.7967,3.2795,0.9816,66.5926,23.2584,1.0977,11.1363,29.7265,25.0452
